"Symbol","Security","Added","Removed"
"DAL","Delta Air Lines",2013-09-11,NA
"XRAY","Dentsply Sirona",2008-11-14,NA
"DVN","Devon Energy",2000-08-30,NA
"DXCM","Dexcom",2020-05-12,NA
"FANG","Diamondback Energy",2018-12-03,NA
"DLR","Digital Realty",2016-05-18,NA
"DFS","Discover Financial",2007-07-02,NA
"DG","Dollar General",2012-12-03,NA
"DLTR","Dollar Tree",2011-12-19,NA
"D","Dominion Energy",2016-11-30,NA
"DPZ","Domino's",2020-05-12,NA
"DOV","Dover Corporation",1985-10-31,NA
"DOW","Dow Inc.",2019-04-01,NA
"DHI","DR Horton",2005-06-22,NA
"DTE","DTE Energy",1957-03-04,NA
"DUK","Duke Energy",1976-06-30,NA
"DD","DuPont",2019-04-02,NA
"EMN","Eastman Chemical Company",1994-01-01,NA
"ETN","Eaton Corporation",1957-03-04,NA
"EBAY","eBay",2002-07-22,NA
"ECL","Ecolab",1989-01-31,NA
"EIX","Edison International",1957-03-04,NA
"EW","Edwards Lifesciences",2011-04-01,NA
"EA","Electronic Arts",2002-07-22,NA
"ELV","Elevance Health",2002-07-25,NA
"LLY","Eli Lilly and Company",1970-12-31,NA
"EMR","Emerson Electric",1965-03-31,NA
"ENPH","Enphase",2021-01-07,NA
"ETR","Entergy",1957-03-04,NA
"EOG","EOG Resources",2000-11-02,NA
"EPAM","EPAM Systems",2021-12-14,NA
"EQT","EQT",2022-10-03,NA
"EFX","Equifax",1997-06-19,NA
"EQIX","Equinix",2015-03-20,NA
"EQR","Equity Residential",2001-12-03,NA
"ESS","Essex Property Trust",2014-04-02,NA
"EL","Estée Lauder Companies (The)",2006-01-05,NA
"ETSY","Etsy",2020-09-21,NA
"EG","Everest Re",2017-06-19,NA
"EVRG","Evergy",2018-06-05,NA
"ES","Eversource",2009-07-24,NA
"EXC","Exelon",1957-03-04,NA
"EXPE","Expedia Group",2007-10-02,NA
"EXPD","Expeditors International",2007-10-10,NA
"EXR","Extra Space Storage",2016-01-19,NA
"XOM","ExxonMobil",1957-03-04,NA
"FFIV","F5, Inc.",2010-12-20,NA
"FDS","FactSet",2021-12-20,NA
"FICO","Fair Isaac",2023-03-20,NA
"FAST","Fastenal",2008-09-15,NA
"FRT","Federal Realty",2016-02-01,NA
"FDX","FedEx",1980-12-31,NA
"FIS","Fidelity National Information Services",2006-11-10,NA
"FITB","Fifth Third Bank",1996-03-29,NA
"FSLR","First Solar",2022-12-19,NA
"FE","FirstEnergy",1997-11-28,NA
"FI","Fiserv",2001-04-02,NA
"FLT","Fleetcor",2018-06-20,NA
"FMC","FMC Corporation",2009-08-19,NA
"FTNT","Fortinet",2018-10-11,NA
"FTV","Fortive",2016-07-01,NA
"FOXA","Fox Corporation (Class A)",2013-07-01,NA
"FOX","Fox Corporation (Class B)",2015-09-18,NA
"BEN","Franklin Templeton",1998-04-30,NA
"FCX","Freeport-McMoRan",2011-07-01,NA
"GRMN","Garmin",2012-12-12,NA
"IT","Gartner",2017-04-05,NA
"GEHC","GE HealthCare",2023-01-04,NA
"GEN","Gen Digital",2003-03-25,NA
"GNRC","Generac",2021-03-22,NA
"GD","General Dynamics",1957-03-04,NA
"GE","General Electric",1957-03-04,NA
"GIS","General Mills",1957-03-04,NA
"GM","General Motors",2013-06-06,NA
"GPC","Genuine Parts Company",1973-12-31,NA
"GILD","Gilead Sciences",2004-07-01,NA
"GPN","Global Payments",2016-04-25,NA
"GL","Globe Life",1989-04-30,NA
"GS","Goldman Sachs",2002-07-22,NA
"HAL","Halliburton",1957-03-04,NA
"HIG","Hartford (The)",1957-03-04,NA
"HAS","Hasbro",1984-09-30,NA
